lp,dataset,doc_id,seg_id,system_id,idiomatic,collocational,discourse,pragmatic,calque,fluency2,fluency3_,confidence,fluency2_raw,fluency2_recalc_g6.25
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_literary_#_rink_rats_chapter2_#_18,474,Claude Opus 4.5,50.0,50.0,60.0,50.0,40.0,15.68,48.0,0.8,49.2,1.5675033830172878
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_literary_#_rink_rats_chapter2_#_15,471,Claude Opus 4.5,70.0,60.0,70.0,70.0,60.0,21.07,64.71000000000001,0.8,65.5,2.1073967721350453
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_news_#_brisbanetimes.com.au.306576_#_2,501,Claude Opus 4.5,50.0,50.0,70.0,60.0,50.0,16.56,50.0,0.8,52.400000000000006,1.656483615977282
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_literary_#_rink_rats_chapter2_#_16,472,Claude Opus 4.5,50.0,50.0,60.0,60.0,40.0,15.83,48.0,0.8,49.800000000000004,1.5831935067894334
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_literary_#_rink_rats_chapter2_#_9,465,Claude Opus 4.5,60.0,50.0,70.0,70.0,60.0,18.35,56.71,0.8,58.70000000000001,1.835361931297756
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114174389242714730_#_2,570,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_news_#_guardian.228996_#_7,512,Claude Opus 4.5,50.0,60.0,70.0,50.0,50.0,17.14,53.29,0.8,54.60000000000001,1.7140140698084823
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114174389242714730_#_3,571,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_news_#_guardian.229703_#_7,521,Claude Opus 4.5,50.0,50.0,70.0,50.0,50.0,16.41,50.0,0.8,51.8,1.6407934922051364
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114300646822630777_#_11,597,Claude Opus 4.5,40.0,50.0,50.0,40.0,30.0,14.43,41.28999999999999,0.8,42.0,1.4430692044979918
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114417630342798842_#_6,604,Claude Opus 4.5,60.0,70.0,70.0,60.0,70.0,21.02,65.28999999999999,0.8,65.4,2.1024264155541963
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114294867111841563_#_6,582,Claude Opus 4.5,50.0,50.0,60.0,40.0,50.0,15.860000000000001,50.0,0.8,50.30000000000001,1.585981377109189
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114417630342798842_#_17,615,Claude Opus 4.5,50.0,50.0,60.0,40.0,40.0,15.57,48.0,0.8,48.6,1.5574244771489778
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_speech_#_vid_7Aw4Q46omiM_#_0,624,Claude Opus 4.5,60.0,60.0,50.0,60.0,50.0,17.66,58.0,0.8,57.400000000000006,1.7660366238424088
EN-ar_EG,wmt25_fluency_benchmark,en-ar_EG_#_social_#_114417630342798842_#_0,598,Claude Opus 4.5,60.0,50.0,60.0,40.0,50.0,16.91,54.71,0.8,54.30000000000001,1.690582202256826
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_literary_#_rink_rats_chapter2_#_15,670,Claude Opus 4.5,50.0,50.0,60.0,50.0,40.0,15.68,48.0,0.8,49.2,1.5675033830172878
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_brisbanetimes.com.au.306576_#_2,700,Claude Opus 4.5,50.0,50.0,60.0,40.0,40.0,15.57,48.0,0.8,48.6,1.5574244771489778
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_literary_#_rink_rats_chapter2_#_16,671,Claude Opus 4.5,50.0,50.0,60.0,50.0,40.0,15.68,48.0,0.8,49.2,1.5675033830172878
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_guardian.231311_#_0,731,Claude Opus 4.5,40.0,50.0,60.0,40.0,40.0,14.9,43.29,0.8,44.6,1.4902317713602453
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_literary_#_rink_rats_chapter2_#_42,697,Claude Opus 4.5,50.0,50.0,60.0,50.0,50.0,15.96,50.0,0.8,50.9,1.596060282977499
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_guardian.228996_#_6,710,Claude Opus 4.5,60.0,60.0,70.0,70.0,50.0,18.64,58.0,0.8,59.800000000000004,1.864127158213356
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_social_#_114174389242714730_#_2,770,Claude Opus 4.5,50.0,50.0,60.0,60.0,40.0,15.83,48.0,0.8,49.800000000000004,1.5831935067894334
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_guardian.229703_#_9,722,Claude Opus 4.5,40.0,50.0,60.0,40.0,40.0,14.9,43.29,0.8,44.6,1.4902317713602453
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_social_#_114157282362077575_#_0,763,Claude Opus 4.5,40.0,50.0,60.0,60.0,40.0,15.16,43.29,0.8,45.8,1.5160008010007007
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_guardian.229703_#_2,715,Claude Opus 4.5,50.0,60.0,70.0,60.0,50.0,17.3,53.29,0.8,55.20000000000002,1.7297041935806277
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_social_#_114300646822630777_#_2,778,Claude Opus 4.5,40.0,50.0,50.0,40.0,40.0,14.670000000000002,43.29,0.8,43.7,1.466696585702027
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_news_#_guardian.229703_#_8,721,Claude Opus 4.5,40.0,50.0,60.0,40.0,40.0,14.9,43.29,0.8,44.6,1.4902317713602453
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_social_#_114174389242714730_#_6,774,Claude Opus 4.5,60.0,60.0,50.0,70.0,50.0,17.96,58.0,0.8,58.00000000000001,1.7958587633275005
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_speech_#_vid_6dP6bHX73_k_#_0,814,Claude Opus 4.5,50.0,50.0,60.0,50.0,40.0,15.68,48.0,0.8,49.2,1.5675033830172878
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_speech_#_vid_2qWfOH69wGU_#_0,811,Claude Opus 4.5,60.0,60.0,50.0,60.0,50.0,17.66,58.0,0.8,57.400000000000006,1.7660366238424088
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_social_#_114417630342798842_#_14,802,Claude Opus 4.5,50.0,50.0,60.0,50.0,50.0,15.96,50.0,0.8,50.9,1.596060282977499
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_speech_#_vid_8qZFupajBuo_#_0,818,Claude Opus 4.5,60.0,50.0,50.0,60.0,50.0,16.93,54.71,0.8,54.60000000000001,1.6928160462390631
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_literary_#_rink_rats_chapter2_#_15,859,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_literary_#_rink_rats_chapter2_#_9,853,Claude Opus 4.5,40.0,40.0,50.0,50.0,30.0,14.059999999999999,38.0,0.8,39.8,1.4061132163141892
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_literary_#_rink_rats_chapter2_#_18,862,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-bho_IN,wmt25_fluency_benchmark,en-bho_IN_#_speech_#_vid_qhwgP27R4xw_#_0,839,Claude Opus 4.5,50.0,50.0,40.0,50.0,40.0,15.29,48.0,0.8,47.400000000000006,1.5288498385566047
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_news_#_en.ndtv.com.357237_#_2,889,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_news_#_guardian.229338_#_5,904,Claude Opus 4.5,60.0,60.0,70.0,70.0,60.0,19.09,60.0,0.8,61.5,1.9085825089011017
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_news_#_guardian.231311_#_0,926,Claude Opus 4.5,60.0,50.0,80.0,60.0,70.0,19.8,58.71000000000001,0.8,60.70000000000001,1.9801526213750211
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_literary_#_rink_rats_chapter2_#_30,874,Claude Opus 4.5,40.0,40.0,60.0,60.0,40.0,14.690000000000001,40.0,0.8,43.0,1.4689659069485879
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_social_#_114417630342798842_#_4,982,Claude Opus 4.5,60.0,70.0,70.0,60.0,60.0,20.18,63.29,0.8,63.70000000000001,2.0179303536797706
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_news_#_guardian.230737_#_1,919,Claude Opus 4.5,60.0,50.0,70.0,60.0,60.0,18.060000000000002,56.71,0.8,58.10000000000001,1.8055397918126646
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_social_#_114417630342798842_#_7,985,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_speech_#_vid_YTxmx8hyJtA_#_0,1018,Claude Opus 4.5,40.0,50.0,40.0,50.0,40.0,14.62,43.29,0.8,43.4,1.4616571327678722
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_dialogue_#_SNG0991_#_0,1054,Claude Opus 4.5,50.0,40.0,60.0,50.0,40.0,15.2,44.71,0.8,46.4,1.520468488965175
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_speech_#_vid_rU8nY03Lo5s_#_0,1028,Claude Opus 4.5,30.0,40.0,40.0,30.0,30.0,13.17,33.29,0.8,33.7,1.3169830377972014
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_literary_#_rink_rats_chapter2_#_15,1071,Claude Opus 4.5,50.0,50.0,60.0,60.0,40.0,15.83,48.0,0.8,49.800000000000004,1.5831935067894334
EN-cs_CZ,wmt25_fluency_benchmark,en-cs_CZ_#_dialogue_#_MUL2305_#_1,1045,Claude Opus 4.5,50.0,60.0,70.0,50.0,50.0,17.14,53.29,0.8,54.60000000000001,1.7140140698084823
