seg_id,system_id,original_text,translation,ref_text,human_mqm_score,year,pair,source_lang,target_lang,dataset,lp,doc_id,chrf_pp,fluency_mqm,fluency_mqm_idiomatic,fluency_mqm_collocational,fluency_mqm_discourse,fluency_mqm_pragmatic,fluency_mqm_calque,fluency_mqm_main_issue,fluency_mqm_issue_type,fluency_mqm_severity,fluency_mqm_errors_json
186,ONLINE-B,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist meine persönliche Sache mit dem Mandela-Effekt. Ich hatte es noch nie in einem Kochbuch gesehen. Ich hatte es noch nie im schicken Lebensmittelladen oder in einem der italienischen Feinkostläden gesehen. Ich hatte noch nie erlebt, dass jemandes Mutter es gemacht hat oder dass es mir auf einer Party untergeschoben wurde oder dass es im Zusammenhang mit den Saucen-Herstellungs- oder Backtagen von irgendjemandem <v>auftauchte</v>",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,93.0,95.0,99.0,100.0,100.0,99.0,"The translation uses 'untergeschoben' incorrectly for food being offered and employs overly technical, clunky phrasing for home cooking.",idiom_literal,major,"[{""dimension"": ""idiomatic"", ""severity"": ""major"", ""phrase"": ""untergeschoben wurde"", ""explanation"": ""'Untergeschoben' in German implies being framed or having something planted on you secretly (like evidence); it does not mean being insistently offered food ('aufgedrängt' or 'vorgesetzt').""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""Saucen-Herstellungs-"", ""explanation"": ""'Herstellung' refers to industrial production or manufacturing; for home cooking, 'Soßenkochen' or 'Zubereitung' is the natural term.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""im Zusammenhang mit den ... von irgendjemandem"", ""explanation"": ""This mirrors the English 'in conjunction with anyone's...' structure too literally, resulting in a clunky, non-native phrasing in German.""}]"
400,ONLINE-B,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine schöne Größe und Farbe! Leider hatte ich es nur eine Woche und als ich die eine Tür öffnete, <v>war die Oberseite des Holzstücks gesprungen!</v> Ich bin wirklich enttäuscht! Es ist alles zusammengebaut und ich habe den Karton nicht mehr. Wie könnte ich also überhaupt daran denken, es zurückzuschicken?! Mein Mann hat versucht, es mit Holzleim zu reparieren, aber leider hat auch das nicht funktioniert! Die Tür sprang sofort wieder heraus!!",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,98.0,100.0,99.0,100.0,100.0,99.0,Minor literal translations of 'the one door' and 'wood piece' that sound slightly less idiomatic in a furniture review.,calque,minor,"[{""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""die eine Tür"", ""explanation"": ""A literal translation of 'the one door'. While understandable, 'eine der Türen' or simply 'die Tür' would sound more natural in German unless specifically contrasting it with another door.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""Holzstück"", ""explanation"": ""In the context of furniture, 'Holzteil' or 'Element' is more common; 'Holzstück' sounds more like a random piece of wood or a scrap.""}]"
186,refA,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist mein persönliches Mandela-Effekt-Ding. Ich hatte es noch nie zuvor in einem Kochbuch gesehen. Ich hatte es noch nie in einem schicken Lebensmittelladen oder in irgendeinem der italienischen Feinkostläden gesehen. Ich hatte noch nie gesehen, dass die Mutter von jemandem es zubereitet hat<v>,</v> oder dass es mir auf einer Party aufgedrängt wurde, oder dass es in Zusammenhang mit den Eskapaden der Saucenzubereitung oder den Backtagen von irgendwem auftauchte",,-2.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,92.0,99.0,100.0,100.0,100.0,93.0,"The translation is overly literal, resulting in stiff genitive constructions and technical-sounding compound nouns that don't fit the casual tone.",calque,major,"[{""dimension"": ""calque"", ""severity"": ""major"", ""phrase"": ""Eskapaden der Saucenzubereitung"", ""explanation"": ""A literal translation of 'saucemaking escapades'; 'Saucenzubereitung' is too technical/formal for this context, and the genitive construction feels stiff and unnatural.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""die Mutter von jemandem"", ""explanation"": ""Literal translation of 'anyone's mom'; 'jemandes Mutter' or a more natural phrasing like 'bei niemandem zu Hause' would be more idiomatic.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""Backtagen von irgendwem"", ""explanation"": ""Literal mirror of 'baking days of anyone'; using 'von irgendwem' at the end of the sentence is a typical translation-ese structure.""}, {""dimension"": ""idiomatic"", ""severity"": ""minor"", ""phrase"": ""Mandela-Effekt-Ding"", ""explanation"": ""Literal translation of 'Mandela effect thing'; while 'Ding' is used colloquially, 'Sache' or 'Phänomen' would be more natural in German.""}]"
400,refA,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine gute Größe und Farbe! Leider hatte ich es nur eine Woche, dann habe ich die eine Tür geöffnet und die Oberseite des Holzteils hat einen Riss gekriegt. Ich bin so enttäuscht! Es ist schon komplett zusammengebaut und ich habe auch den Karton nicht mehr, wie könnte ich nur daran denken, es zurückzusenden?! Mein Mann hat versucht, es mit Holzkleber zu reparieren, aber das hat leider auch nicht funktioniert! Die Tür ist direkt wieder rausgesprungen!!",,0.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,97.0,99.0,99.0,100.0,100.0,99.0,Minor literal translations and non-standard word choices make the text sound slightly like a translation.,calque,minor,"[{""dimension"": ""idiomatic"", ""severity"": ""minor"", ""phrase"": ""Ich mag das Produkt"", ""explanation"": ""While grammatically correct, 'Mir gefällt das Produkt' is the more natural and standard way to express liking an object in German reviews.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""Holzkleber"", ""explanation"": ""The standard term for wood glue in German is 'Holzleim'; 'Holzkleber' is less common and sounds slightly technical or translated.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""wie könnte ich nur daran denken, es zurückzusenden?!"", ""explanation"": ""This is a literal translation of the English 'how could I even think about'. A more idiomatic German expression for this context would be 'An eine Rücksendung ist gar nicht zu denken'.""}]"
360,IOL_Research,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that <v>Kim Jong-Ai</v> has been exposed more and more in the past three months since he first showed his face in public on November 18 last year when he test-fired the Mars 17 missile, and this is the fifth time he has appeared on an official occasion.‏‏‏",,-35.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,84.0,90.0,100.0,99.0,100.0,95.0,"The translation relies on literal translations of Chinese idioms and terms (calques), leading to unnatural phrasing like 'exposed' and 'showed his face'.",calque,major,"[{""dimension"": ""idiomatic"", ""severity"": ""major"", ""phrase"": ""exposed more and more"", ""explanation"": ""This is a literal translation of the Chinese term '曝光' (bàoguāng). In English, 'exposed' often carries a negative connotation (e.g., exposed as a fraud) or refers to physical vulnerability. For a public figure, 'making more frequent public appearances' or 'increasing public profile' is more natural.""}, {""dimension"": ""idiomatic"", ""severity"": ""major"", ""phrase"": ""showed his face"", ""explanation"": ""A literal translation of '露脸' (lòuliǎn). In English, 'showed his face' is often used to describe someone appearing briefly or reluctantly after being absent. 'Made his first public appearance' is the standard professional phrasing for this context.""}, {""dimension"": ""calque"", ""severity"": ""major"", ""phrase"": ""Mars 17"", ""explanation"": ""A literal translation of '火星-17'. While '火星' means Mars, the standard English name for this North Korean missile series is 'Hwasong-17'. Using 'Mars' sounds like a translation error to a native reader.""}, {""dimension"": ""discourse"", ""severity"": ""minor"", ""phrase"": ""when he test-fired the Mars 17 missile"", ""explanation"": ""The phrasing 'when he test-fired' suggests the individual personally conducted the launch. Using 'at the test-firing' or 'during the test-firing' would be more natural to describe someone's presence at an event.""}]"
360,ONLINE-B,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏",,-18.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,94.0,100.0,99.0,100.0,100.0,95.0,The phrase 'probability of exposure' is a literal translation that sounds technical or statistical rather than journalistic.,calque,major,"[{""dimension"": ""calque"", ""severity"": ""major"", ""phrase"": ""probability of exposure"", ""explanation"": ""This is a literal translation of the Chinese '曝光机率'. In English, 'exposure' refers to media visibility, but 'probability' is used for statistical likelihood or risk. A native speaker would say 'frequency of appearances' or 'public profile'.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""appeared on a formal occasion"", ""explanation"": ""While understandable, it is more idiomatic to say 'at a formal event' or 'in a formal setting' rather than 'on an occasion' in this context.""}]"
360,refA,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",,-10.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,85.0,100.0,100.0,95.0,95.0,95.0,The translation suffers from a major discourse error regarding subject-verb coherence and uses an incorrect gender pronoun and a literal calque for a proper noun.,calque,major,"[{""dimension"": ""pragmatic"", ""severity"": ""major"", ""phrase"": ""his"", ""explanation"": ""Kim Joo-ae is the daughter of Kim Jong-un; using a male pronoun for a well-known female figure is a pragmatic failure in natural discourse.""}, {""dimension"": ""calque"", ""severity"": ""major"", ""phrase"": ""Mars-17"", ""explanation"": ""This is a literal translation of the Chinese name '火星' (Hwasong). In English-language media, the Korean name 'Hwasong-17' is the standard term.""}, {""dimension"": ""discourse"", ""severity"": ""major"", ""phrase"": ""the exposure rate has increased... and has now appeared"", ""explanation"": ""There is a subject-predicate mismatch. Grammatically, 'the exposure rate' is the subject of 'has now appeared', which is logically incorrect as the person (Kim Joo-ae) is the one who appeared.""}]"
90,Aya23,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Brewster Brothers-Waschanlagen verwandeln 100 Prozent der ausgegrabenen Böden und Schutt, die sie von der Baubranche verarbeiten, in hochwertige Schotter zur Wiederverwendung. In den vergangenen sechs Jahren hat die Anlage des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bauschutt, Abriss- und Ausgrabungsmüll auf Mülldeponien landen. Dabei wurden mehr als eine Million Tonnen recycelter Schotter für die Industrie hergestellt.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,96.0,99.0,97.0,100.0,100.0,100.0,"The translation uses slightly non-standard terminology for the construction industry (e.g., 'Ausgrabung' instead of 'Aushub').",collocation,minor,"[{""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""ausgegrabenen Böden"", ""explanation"": ""In a construction context, 'Erdaushub' is the standard technical term; 'ausgegrabene Böden' sounds like a literal translation and is slightly too descriptive/informal.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""hochwertige Schotter"", ""explanation"": ""'Schotter' is typically used as a mass noun in the singular. The plural 'Schotter' is rare and sounds unnatural here; 'hochwertigen Schotter' or the technical term 'Gesteinskörnungen' would be preferred.""}, {""dimension"": ""idiomatic"", ""severity"": ""minor"", ""phrase"": ""Ausgrabungsmüll"", ""explanation"": ""'Ausgrabung' usually refers to archaeological excavations. In construction, 'Aushub' is the correct term for excavated material.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""Abriss- und Ausgrabungsmüll"", ""explanation"": ""Standard industry terminology would be 'Bau- und Abbruchabfälle' or 'Bauschutt und Erdaushub'.""}]"
90,Claude-3.5,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlage der Brewster Brothers verwandelt 100 Prozent der von ihnen verarbeiteten Aushubböden und Bauschutt aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landen. Es wurden mehr als eine Million Tonnen recycelte Zuschlagstoffe hergestellt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,98.0,100.0,100.0,99.0,100.0,99.0,Minor literal translations of technical terms and slightly stiff sentence transitions.,calque,minor,"[{""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""Aushubböden"", ""explanation"": ""A literal translation of 'excavated soils'. While technically understandable, 'Erdaushub' or 'Bodenmaterial' are the standard idiomatic terms in German construction contexts.""}, {""dimension"": ""discourse"", ""severity"": ""minor"", ""phrase"": ""Es wurden"", ""explanation"": ""The use of the dummy subject 'Es' to start the sentence is grammatically correct but creates a slightly disconnected flow. Using a connector like 'Dabei wurden' or 'Insgesamt wurden' would be more natural.""}]"
90,CommandR-plus,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers verwandeln 100 Prozent der von ihnen aus der Bauindustrie verarbeiteten ausgegrabenen Böden und Trümmer in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat das Unternehmen auf seiner Baustelle in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Ausgrabungsabfälle von Deponien ferngehalten. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe für die Industrie produziert.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,87.0,100.0,89.0,100.0,100.0,98.0,"The translation uses non-technical and slightly misplaced terminology (e.g., 'Trümmer' and 'Baustelle'), which sounds unnatural in a professional industrial context.",collocation,major,"[{""dimension"": ""collocational"", ""severity"": ""major"", ""phrase"": ""Trümmer"", ""explanation"": ""In a construction/recycling context, 'Bauschutt' is the standard term for rubble; 'Trümmer' usually refers to ruins or debris from a disaster.""}, {""dimension"": ""collocational"", ""severity"": ""major"", ""phrase"": ""Baustelle"", ""explanation"": ""The source 'site' refers to a permanent facility or plant ('Standort' or 'Betriebsgelände'). 'Baustelle' specifically means a construction site where something is being built.""}, {""dimension"": ""collocational"", ""severity"": ""minor"", ""phrase"": ""Ausgrabungsabfälle"", ""explanation"": ""'Ausgrabung' refers to archaeological excavations. The technical term for excavated soil in construction is 'Erdaushub'.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""von ihnen aus der Bauindustrie verarbeiteten"", ""explanation"": ""This extended adjective phrase is a clunky literal mirror of the English relative clause, making the sentence hard to read.""}, {""dimension"": ""calque"", ""severity"": ""minor"", ""phrase"": ""von Deponien ferngehalten"", ""explanation"": ""A literal translation of 'prevented... going to landfill'. In German, one would typically say 'die Deponierung von ... vermieden'.""}]"
