pair,metric,spearman,tau,pa,n,syntactic_dist,morphology,script,word_order,family
EN→ar_EG,fluency2,0.4108004555759836,0.3186085224395405,0.6961666493290336,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→ar_EG,gemba_score,0.37404824853561663,0.29417698005854487,0.6744252574638511,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→ar_EG,metricx_score,-0.3026639355476142,-0.22215806725035275,0.36323208155622594,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→ar_EG,xcomet_score,-0.26469047335966306,-0.1947024643008843,0.38013627379590137,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→ar_EG,cometKiwi_score,-0.5063908658765406,-0.37540257109753966,0.2688806824092375,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→ar_EG,chrf_pp,0.493962476398611,0.36893994455712636,0.7271663372516384,342,0.366,root_pattern,arabic,vso_flexible,semitic
EN→bho_IN,fluency2,0.5895454679171723,0.4182559457864373,0.7097945861044985,288,0.337,fusional_moderate,devanagari,sov,indic
EN→bho_IN,gemba_score,0.40121659715378044,0.2932867571241573,0.6404152452941321,288,0.337,fusional_moderate,devanagari,sov,indic
EN→bho_IN,metricx_score,0.3003602195175771,0.22667914997767707,0.614131101676197,288,0.337,fusional_moderate,devanagari,sov,indic
EN→bho_IN,xcomet_score,-0.11005506801218308,-0.07057222299885539,0.4644513706530542,288,0.337,fusional_moderate,devanagari,sov,indic
EN→bho_IN,cometKiwi_score,0.06104603903120459,0.053806446264320684,0.5270817483495718,288,0.337,fusional_moderate,devanagari,sov,indic
EN→bho_IN,chrf_pp,0.3682675376803313,0.25811498135492966,0.6299604878886789,288,0.337,fusional_moderate,devanagari,sov,indic
EN→cs_CZ,fluency2,0.5231793252684488,0.3732015052626912,0.6873819252229691,304,0.335,fusional_rich,latin,free,slavic
EN→cs_CZ,gemba_score,0.40121225302346264,0.2948183060206496,0.6359342735380695,304,0.335,fusional_rich,latin,free,slavic
EN→cs_CZ,metricx_score,0.3875749291351837,0.2645526320991066,0.6330565440885726,304,0.335,fusional_rich,latin,free,slavic
EN→cs_CZ,xcomet_score,0.24367032760434396,0.16535358520782104,0.5831685778304996,304,0.335,fusional_rich,latin,free,slavic
EN→cs_CZ,cometKiwi_score,0.2515595930319232,0.17295404058390368,0.5869909054962436,304,0.335,fusional_rich,latin,free,slavic
EN→cs_CZ,chrf_pp,0.22790397187113942,0.15355977514148592,0.5772373797284829,304,0.335,fusional_rich,latin,free,slavic
