year,pair,original_text,translation,human_mqm_score,fluency2,gemba_mqm,disagreement,f2_overestimates,issue_type,severity,low_confidence,main_issue
wmt22,en-ru,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я Midwesterner, и всегда был добр к лицу PJ, так что я сказал ей, что я сожалею, что сосало, как насчет этого проекта мы оба на?",-36.2,1.015900666500451,60.0,7.831385581778409,True,calque,critical,False,The translation is a series of literal word-for-word calques that result in nonsensical and ungrammatical Russian.
wmt22,zh-en,2022年叶子《现代电视新闻学》笔记和课后习题（含典型题）详解/硕士研究生考试大纲 辅导教材 复习资料 入学考试试题 考,"2022 leaf ""Modern television journalism"" notes and post-class lessons (including typical subjects) detailed / master's graduate examination curriculum tutorials review materials entrance examination questions examination",-31.0,1.2590637083855356,80.0,6.624432739063185,True,calque,major,True,Literal translation of a proper noun (Ye Zi as 'leaf') and incorrect terminology for academic exercises ('lessons' for 习题).
wmt22,en-ru,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я среднезападник, и я всегда был хорош к лицу ПДЖ, поэтому я сказал ей, что я сожалею, что сосали, что нас обоих в этом проекте?",-26.1,1.0119256607130425,60.0,5.240517817931115,True,idiom_literal,critical,False,"The translation uses literal calques for idioms and a vulgar mistranslation of 'that sucked', resulting in nonsensical and offensive Russian."
wmt22,en-ru,Afaik it was just a change of wind that didn't suit everyone.,"Возможно, это была просто смена ветра, которая не устроила всех.",-20.0,1.539000410970642,90.0,3.949876583183588,True,discourse_marker,major,False,The translation uses a cleft sentence calque and incorrectly renders the discourse marker 'Afaik' as 'Perhaps'.
wmt22,en-ru,Afaik it was just a change of wind that didn't suit everyone.,"Afaik это была просто смена ветра, которая не устраивала всех.",-20.0,1.419611769976456,90.0,3.8880621339534267,True,calque,major,False,"The translation uses a literal English structure, leaves the acronym untranslated, and incorrectly places the negation, changing the meaning of 'not everyone'."
wmt22,zh-en,2022年叶子《现代电视新闻学》笔记和课后习题（含典型题）详解/硕士研究生考试大纲 辅导教材 复习资料 入学考试试题 考,"Notes and after-class exercises (including typical questions) from Leaf 2022/Exact syllabus for postgraduate exams, tutorial materialsIP, review materials, and entrance examination questions.",-20.0,1.3161271797580085,80.0,3.8344821376079303,True,calque,critical,False,The translation omits the core book title 'Modern TV Journalism' and literally translates the author/brand name 'Ye Zi' as 'Leaf'.
wmt22,en-ru,Tap Settings.,"Нажмите ""Настройки"".",-2.0,8.950000000000001,95.0,3.173262268099375,True,none,cosmetic,False,"The translation is a standard, idiomatic rendering that follows Russian software localization conventions perfectly."
wmt22,en-ru,We treat the poor like crap.,Мы обращаемся с бедными как с дерьмом.,-5.1,7.269414605901121,95.0,3.0977105270789944,True,none,cosmetic,False,The translation is highly idiomatic and accurately captures the register and meaning of the source.
wmt22,en-ru,Tap Settings.,Нажмите «Настройки».,-1.0,8.950000000000001,100.0,2.9169444787963803,True,none,cosmetic,False,The translation is a standard and perfectly idiomatic rendering of a UI instruction in Russian.
wmt22,en-ru,Tap Settings.,Нажмите «Настройки».,-1.0,8.950000000000001,100.0,2.9169444787963803,True,none,cosmetic,False,The translation is a standard and perfectly idiomatic rendering of a UI instruction in Russian.
wmt22,en-ru,Tap Settings.,Нажмите «Настройки».,-1.0,8.950000000000001,100.0,2.9169444787963803,True,none,cosmetic,False,The translation is a standard and perfectly idiomatic rendering of a UI instruction in Russian.
wmt22,en-ru,Free Training on CompTIA A+ | Will Cover Full Course,Бесплатное обучение по CompTIA A+ | Полный курс,-7.0,5.917639397604196,90.0,2.884821612606694,True,none,cosmetic,False,The translation is highly natural and appropriately adapts the English verbal phrase into a concise Russian noun phrase suitable for a title.
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приносим извинения за причиненные Вам неудобства.,-1.0,8.730793209465364,90.0,2.803448362988598,True,none,cosmetic,False,The translation is a perfectly natural and professional rendering using standard Russian business formulas.
wmt22,zh-en,一天之计在于晨，所有的美好从清晨开始 希望你携带着快乐、幸运、健康、如意出发 开始新的一天，保持一整天的好心情 早安,"One day is counted in the morning, all the beautiful starts in the early morning I hope you bring happiness, luck, health, as you want to leave Start a new day, keep the whole day in a good mood Good morning",-16.1,1.2436171863322076,75.0,2.7973001148169057,True,idiom_literal,major,False,The translation uses a literal calque for a Chinese proverb and contains ungrammatical phrasing like 'all the beautiful starts'.
wmt22,zh-en,一天之计在于晨，所有的美好从清晨开始 希望你携带着快乐、幸运、健康、如意出发 开始新的一天，保持一整天的好心情 早安,"The plan of the day is in the morning, all the beauty from the early morning Hope you carry happy, lucky, healthy, as you wish to start a new day, keep a good mood all day Good morning",-16.0,1.1860838917081113,75.0,2.741880000162454,True,calque,major,False,The translation is a literal word-for-word calque that results in ungrammatical phrasing and non-idiomatic English.
wmt22,en-ru,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Позвоните менеджеру магазина, если их там нет.",-15.0,1.6745354964388697,90.0,2.738462040111143,True,calque,major,False,"Literal translation of the English singular 'they' as the Russian plural 'их', which creates a grammatical mismatch with the singular 'менеджеру'."
wmt22,en-ru,Tap Settings.,Нажмите «Настройки».,-0.1,8.950000000000001,100.0,2.6862584684236848,True,none,cosmetic,False,The translation is a standard and perfectly idiomatic rendering of a UI instruction in Russian.
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern""",-0.1,8.950000000000001,95.0,2.6862584684236848,True,none,cosmetic,False,"The translation is a standard, idiomatic, and perfectly accurate rendering of a UI instruction in German."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приношу свои извинения за причиненные вам неудобства.,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,The translation is a perfectly natural and professional rendering using standard Russian business etiquette.
wmt22,en-ru,damn.,блин.,-0.0,8.950000000000001,90.0,2.6606266894933857,True,none,cosmetic,False,The translation is a perfect functional and pragmatic equivalent for the source interjection.
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, idiomatic, and grammatically correct rendering of a UI instruction in German."
wmt22,en-de,Have a great day,Schönen Tag noch,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,The translation is a perfectly idiomatic and standard equivalent for the source phrase.
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, idiomatic, and grammatically correct rendering of a UI instruction in German."
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern""",-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, idiomatic, and perfectly accurate rendering of a UI instruction in German."
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, accurate, and idiomatic rendering of a UI instruction using correct German punctuation."
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, accurate, and idiomatic rendering of a UI instruction using correct German punctuation."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приношу свои извинения за доставленные вам неудобства.,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a perfectly natural and standard formal expression in Russian, using ideal collocations."
