seg_id,system_id,original_text,translation,ref_text,human_mqm_score,year,pair,source_lang,target_lang,dataset,lp,doc_id,chrf_pp,idiomatic,collocational,discourse,pragmatic,calque,issue_type,severity,problematic_phrase,suggested_fix,main_issue,low_confidence,max_score_diff,fluency2_raw
186,ONLINE-B,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist meine persönliche Sache mit dem Mandela-Effekt. Ich hatte es noch nie in einem Kochbuch gesehen. Ich hatte es noch nie im schicken Lebensmittelladen oder in einem der italienischen Feinkostläden gesehen. Ich hatte noch nie erlebt, dass jemandes Mutter es gemacht hat oder dass es mir auf einer Party untergeschoben wurde oder dass es im Zusammenhang mit den Saucen-Herstellungs- oder Backtagen von irgendjemandem <v>auftauchte</v>",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,5.0,4.0,6.0,5.0,4.0,calque,major,Saucen-Herstellungs- oder Backtagen,bei jemandes Saucen-Experimenten oder Backaktionen auftauchen,"Heavy calques and awkward compounds ('Sache mit dem Mandela-Effekt', 'Saucen-Herstellungs- oder Backtagen', 'untergeschoben') mirror English structure unnaturally.",False,0.0,4.64
400,ONLINE-B,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine schöne Größe und Farbe! Leider hatte ich es nur eine Woche und als ich die eine Tür öffnete, <v>war die Oberseite des Holzstücks gesprungen!</v> Ich bin wirklich enttäuscht! Es ist alles zusammengebaut und ich habe den Karton nicht mehr. Wie könnte ich also überhaupt daran denken, es zurückzuschicken?! Mein Mann hat versucht, es mit Holzleim zu reparieren, aber leider hat auch das nicht funktioniert! Die Tür sprang sofort wieder heraus!!",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,6.0,6.0,7.0,7.0,5.5,calque,major,Die Tür sprang sofort wieder heraus,Die Tür ging gleich wieder auf / löste sich sofort wieder,"Several literal renderings ('Holzstück', 'sprang heraus', 'hatte ich es nur eine Woche') sound like calques rather than natural German.",False,1.0,6.0649999999999995
186,refA,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist mein persönliches Mandela-Effekt-Ding. Ich hatte es noch nie zuvor in einem Kochbuch gesehen. Ich hatte es noch nie in einem schicken Lebensmittelladen oder in irgendeinem der italienischen Feinkostläden gesehen. Ich hatte noch nie gesehen, dass die Mutter von jemandem es zubereitet hat<v>,</v> oder dass es mir auf einer Party aufgedrängt wurde, oder dass es in Zusammenhang mit den Eskapaden der Saucenzubereitung oder den Backtagen von irgendwem auftauchte",,-2.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,5.0,5.0,6.0,5.0,4.0,calque,major,Eskapaden der Saucenzubereitung oder den Backtagen von irgendwem,wenn jemand Saucen kochte oder einen Backtag einlegte,"Several literal, calque-like renderings (""Mandela-Effekt-Ding"", ""Eskapaden der Saucenzubereitung"", ""Backtagen von irgendwem"") produce unidiomatic German phrasing.",False,0.0,4.92
400,refA,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine gute Größe und Farbe! Leider hatte ich es nur eine Woche, dann habe ich die eine Tür geöffnet und die Oberseite des Holzteils hat einen Riss gekriegt. Ich bin so enttäuscht! Es ist schon komplett zusammengebaut und ich habe auch den Karton nicht mehr, wie könnte ich nur daran denken, es zurückzusenden?! Mein Mann hat versucht, es mit Holzkleber zu reparieren, aber das hat leider auch nicht funktioniert! Die Tür ist direkt wieder rausgesprungen!!",,0.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,7.0,7.0,6.0,6.0,6.0,calque,major,"wie könnte ich nur daran denken, es zurückzusenden",wie soll ich es da überhaupt zurückschicken?,"The rhetorical question is rendered as a literal calque that shifts the meaning from 'how could I even send it back' to 'why would I consider it', sounding unidiomatic.",False,0.0,6.6800000000000015
360,IOL_Research,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that <v>Kim Jong-Ai</v> has been exposed more and more in the past three months since he first showed his face in public on November 18 last year when he test-fired the Mars 17 missile, and this is the fifth time he has appeared on an official occasion.‏‏‏",,-35.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,4.0,3.0,5.0,4.0,3.0,calque,major,has been exposed more and more,has made increasingly frequent public appearances,"Literal calques like 'exposed more and more' and 'Mars 17 missile' (Hwasong-17) produce unnatural, unconventional English phrasing.",False,0.0,3.6400000000000006
360,ONLINE-B,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏",,-18.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,4.0,3.0,5.0,4.0,3.0,collocation,major,the probability of exposure has been increasing,she has been appearing more frequently in public,Literal calque of 曝光机率 as 'probability of exposure' is unidiomatic; also wrong pronoun gender for Kim Ju-ae.,False,0.0,3.6400000000000006
360,refA,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",,-10.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,4.5,4.0,5.0,5.0,4.0,collocation,major,the exposure rate has increased,her public appearances have become increasingly frequent,"Literal calques like 'exposure rate' and the wrong pronoun 'his' (Kim Ju-ae is female) produce unnatural, incorrect English.",False,1.0,4.35
90,Aya23,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Brewster Brothers-Waschanlagen verwandeln 100 Prozent der ausgegrabenen Böden und Schutt, die sie von der Baubranche verarbeiten, in hochwertige Schotter zur Wiederverwendung. In den vergangenen sechs Jahren hat die Anlage des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bauschutt, Abriss- und Ausgrabungsmüll auf Mülldeponien landen. Dabei wurden mehr als eine Million Tonnen recycelter Schotter für die Industrie hergestellt.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,5.0,4.0,6.0,6.0,5.0,collocation,major,hochwertige Schotter,hochwertige Gesteinskörnungen/Zuschlagstoffe,"'Aggregates' is mistranslated as 'Schotter' (a specific type), and 'ausgegrabenen Böden und Schutt' shows case/agreement issues and awkward collocations.",False,0.0,4.870000000000001
90,Claude-3.5,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlage der Brewster Brothers verwandelt 100 Prozent der von ihnen verarbeiteten Aushubböden und Bauschutt aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landen. Es wurden mehr als eine Million Tonnen recycelte Zuschlagstoffe hergestellt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,7.0,7.0,7.0,7.0,6.0,calque,minor,"hat der Standort ... verhindert, dass","konnte am Standort ... verhindert werden, dass",Die Konstruktion 'der Standort hat verhindert' ist eine leicht unidiomatische Personifizierung nach englischem Vorbild; zudem Inkongruenz im ersten Satz (Waschanlage verwandelt ... Aushubböden und Bauschutt).,False,0.0,6.83
90,CommandR-plus,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers verwandeln 100 Prozent der von ihnen aus der Bauindustrie verarbeiteten ausgegrabenen Böden und Trümmer in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat das Unternehmen auf seiner Baustelle in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Ausgrabungsabfälle von Deponien ferngehalten. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe für die Industrie produziert.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,5.5,5.0,6.0,6.0,4.5,collocation,major,ausgegrabenen Böden und Trümmer,Aushub und Bauschutt,"Literal renderings like 'ausgegrabene Böden', 'Trümmer', 'Ausgrabungsabfälle' and 'Baustelle' (for 'site') are unidiomatic calques; German would use established terms like 'Aushub', 'Bauschutt', 'Aushubabfälle' and 'Standort'.",False,1.0,5.265000000000001
