slice,pair,year,system_id,seg_id,src_text,mt_text,ref_text,human_mqm_score,f2_opus,f2_gpt5,fmqm_gemini,fmqm_gpt5,gemini_issue,rank_metric,rank_value
slice_A_f2_opus47,en-ru,wmt22,HuaweiTSC,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я Midwesterner, и всегда был добр к лицу PJ, так что я сказал ей, что я сожалею, что сосало, как насчет этого проекта мы оба на?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-36.2,10.9,13.200000000000001,44.0,0.0,calque,resid_f2_opus,7.016342449261223
slice_A_f2_opus47,en-ru,wmt22,M2M100_1.2B-B4,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я среднезападник, и я всегда был хорош к лицу ПДЖ, поэтому я сказал ей, что я сожалею, что сосали, что нас обоих в этом проекте?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-26.1,10.9,12.750000000000002,24.0,10.0,calque,resid_f2_opus,4.63681922787132
slice_A_f2_opus47,en-ru,wmt22,QUARTZ_TuneReranking,1057,Afaik it was just a change of wind that didn't suit everyone.,"Возможно, это была просто смена ветра, которая не устроила всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,36.400000000000006,52.95000000000002,97.0,98.0,calque,resid_f2_opus,3.471686398274228
slice_A_f2_opus47,en-ru,wmt22,HuaweiTSC,1057,Afaik it was just a change of wind that didn't suit everyone.,"Afaik это была просто смена ветра, которая не устраивала всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,29.2,36.75,89.0,89.0,calque,resid_f2_opus,3.391572520756616
slice_A_f2_opus47,en-ru,wmt22,Online-Y,682,Tap Settings.,Нажмите «Настройки».,Нажмите «Настройки».,-1.0,95.00000000000001,83.99999999999999,100.0,99.0,none,resid_f2_opus,3.326649157639935
slice_A_f2_opus47,en-de,wmt23,ONLINE-W,201,But did I love it? Absolutely!,Aber hat es mir gefallen? Auf jeden Fall!,,0.0,89.39999999999999,78.15,100.0,100.0,none,resid_f2_opus,6.882676022731282
slice_A_f2_opus47,en-de,wmt24,MSLC,97,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.","So hatten wir vor fast 18 Monaten den Cost of Living (Tenant Protection) (Scotland) Act 2022 eingeführt, der versuchte, die Mieten für einen begrenzten Zeitraum zu begrenzen, um den Druck der Lebenshaltungskrise zu verringern. Was wir jetzt aus den jüngsten Statistiken der schottischen Regierung erleben, ist, dass allein im letzten Jahr die durchschnittlichen <v>Vermietungen</v> in allen beschlagnahmten Eigenschaften angestiegen sind, von dem niedrigsten Anstieg von 11,7 % für ein Schlafzimmer bis zur höchsten Zahl von 14,3 % für zweibedürftige Häuser. Jede Art von Eigentum (von einem bis vier Schlafzimmer zu einem Wohnraum in einem Grundstück) hat seit der Einführung der Lebenshaltungsgesetzgebung im Oktober 2022 eine zweistellige Zunahme der Miete und überschreitet die jährliche durchschnittliche Zunahme der Mieten in den vergangenen 12 Jahren um mindestens drei Faktor.",,-42.0,21.95,15.499999999999998,38.0,35.0,calque,resid_f2_opus,5.05556070046309
slice_A_f2_opus47,en-de,wmt23,refA,201,But did I love it? Absolutely!,Aber habe ich es geliebt? Auf jeden Fall!,,0.0,83.85,69.24999999999999,98.0,100.0,calque,resid_f2_opus,4.373612229507064
slice_A_f2_opus47,en-de,wmt22,M2M100_1.2B-B4,1813,"Jerry: You can’t park that trailer there, then I can’t get to the dumpster!","Jerry: Sie können diesen Trailer dort nicht parken, dann kann ich nicht zum Müllstuhl kommen!","Jerry: Du kannst den Anhänger dort nicht parken, dann komme ich nicht an den Müllcontainer!",-10.0,31.000000000000007,20.4,73.0,59.0,idiom_literal,resid_f2_opus,3.8154831811001046
slice_A_f2_opus47,en-de,wmt22,M2M100_1.2B-B4,1198,Hat and parasol alert!,Hat und Sonnenschirm warnen!,Achtung Hut und Sonnenschirm!,-10.0,20.9,19.2,75.0,65.0,idiom_literal,resid_f2_opus,3.7534273965157894
slice_A_f2_gpt5,en-ru,wmt22,HuaweiTSC,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я Midwesterner, и всегда был добр к лицу PJ, так что я сказал ей, что я сожалею, что сосало, как насчет этого проекта мы оба на?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-36.2,10.9,13.200000000000001,44.0,0.0,calque,resid_f2_gpt5,6.847689351439411
slice_A_f2_gpt5,en-ru,wmt22,PROMT,1932,My apologies again for the inconvenience this has caused you.,Еще раз приношу свои извинения за доставленные вам неудобства.,Снова приношу извинения за принесенные этим неудобства.,-0.0,90.0,95.00000000000001,100.0,100.0,none,resid_f2_gpt5,5.968679524716249
