seg_id,system_id,original_text,translation,ref_text,human_mqm_score,year,pair,source_lang,target_lang,dataset,lp,doc_id,chrf_pp,fluency_mqm
186,ONLINE-B,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist meine persönliche Sache mit dem Mandela-Effekt. Ich hatte es noch nie in einem Kochbuch gesehen. Ich hatte es noch nie im schicken Lebensmittelladen oder in einem der italienischen Feinkostläden gesehen. Ich hatte noch nie erlebt, dass jemandes Mutter es gemacht hat oder dass es mir auf einer Party untergeschoben wurde oder dass es im Zusammenhang mit den Saucen-Herstellungs- oder Backtagen von irgendjemandem <v>auftauchte</v>",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,72.0
400,ONLINE-B,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine schöne Größe und Farbe! Leider hatte ich es nur eine Woche und als ich die eine Tür öffnete, <v>war die Oberseite des Holzstücks gesprungen!</v> Ich bin wirklich enttäuscht! Es ist alles zusammengebaut und ich habe den Karton nicht mehr. Wie könnte ich also überhaupt daran denken, es zurückzuschicken?! Mein Mann hat versucht, es mit Holzleim zu reparieren, aber leider hat auch das nicht funktioniert! Die Tür sprang sofort wieder heraus!!",,-3.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,78.0
186,refA,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist mein persönliches Mandela-Effekt-Ding. Ich hatte es noch nie zuvor in einem Kochbuch gesehen. Ich hatte es noch nie in einem schicken Lebensmittelladen oder in irgendeinem der italienischen Feinkostläden gesehen. Ich hatte noch nie gesehen, dass die Mutter von jemandem es zubereitet hat<v>,</v> oder dass es mir auf einer Party aufgedrängt wurde, oder dass es in Zusammenhang mit den Eskapaden der Saucenzubereitung oder den Backtagen von irgendwem auftauchte",,-2.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,61.0
400,refA,I like the product it's a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I'm really disappointed! It's all assembled and I don't have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn't work either! The door popped right out again!!,"Ich mag das Produkt, es hat eine gute Größe und Farbe! Leider hatte ich es nur eine Woche, dann habe ich die eine Tür geöffnet und die Oberseite des Holzteils hat einen Riss gekriegt. Ich bin so enttäuscht! Es ist schon komplett zusammengebaut und ich habe auch den Karton nicht mehr, wie könnte ich nur daran denken, es zurückzusenden?! Mein Mann hat versucht, es mit Holzkleber zu reparieren, aber das hat leider auch nicht funktioniert! Die Tür ist direkt wieder rausgesprungen!!",,0.0,wmt23,en-de,en,de,wmt23_mqm_tsv,en-de,,,80.0
360,IOL_Research,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that <v>Kim Jong-Ai</v> has been exposed more and more in the past three months since he first showed his face in public on November 18 last year when he test-fired the Mars 17 missile, and this is the fifth time he has appeared on an official occasion.‏‏‏",,-35.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,73.0
360,ONLINE-B,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year when he test-fired the Hwasong-17 missile, the probability of exposure has been increasing in the past three months, and this is the fifth time he has appeared on a formal occasion.‏‏‏‏‏‏‏‏",,-18.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,79.0
360,refA,韩国媒体指出，金主爱自去年11月18日试射火星17飞弹首次在公开露脸以来，3个月以来曝光机率越来越高，至今已是第5度出现于正式场合。,"The South Korean media pointed out that since Kim Joo-ae made <v>his</v> first public appearance on November 18 last year during the test launch of the Mars-17 missile, the exposure rate has increased over the past three months, and has now appeared on official occasions for the fifth time.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",,-10.0,wmt23,zh-en,zh,en,wmt23_mqm_tsv,zh-en,,,78.0
90,Aya23,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Brewster Brothers-Waschanlagen verwandeln 100 Prozent der ausgegrabenen Böden und Schutt, die sie von der Baubranche verarbeiten, in hochwertige Schotter zur Wiederverwendung. In den vergangenen sechs Jahren hat die Anlage des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bauschutt, Abriss- und Ausgrabungsmüll auf Mülldeponien landen. Dabei wurden mehr als eine Million Tonnen recycelter Schotter für die Industrie hergestellt.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,77.0
90,Claude-3.5,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlage der Brewster Brothers verwandelt 100 Prozent der von ihnen verarbeiteten Aushubböden und Bauschutt aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landen. Es wurden mehr als eine Million Tonnen recycelte Zuschlagstoffe hergestellt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,86.0
90,CommandR-plus,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers verwandeln 100 Prozent der von ihnen aus der Bauindustrie verarbeiteten ausgegrabenen Böden und Trümmer in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat das Unternehmen auf seiner Baustelle in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Ausgrabungsabfälle von Deponien ferngehalten. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe für die Industrie produziert.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,79.0
90,Dubformer,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent des von ihnen aufbereiteten Bodenaushubs und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe für die Wiederverwendung um. In den vergangenen sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Dabei wurden mehr als eine Million Tonnen rezyklierte Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,86.0
90,GPT-4,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der <v>""</v>Brewster Brothers"" verwandeln 100 Prozent der von ihnen verarbeiteten Aushub- und Schuttböden aus der Baubranche in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat das Unternehmen auf seinem Gelände in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle vor der Deponierung bewahrt. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe erzeugt, die in der Branche verkauft werden können.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,73.0
90,Gemini-1.5-Pro,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Aufbereitungsanlagen von Brewster Brothers verwandeln 100 Prozent der ausgehobenen Böden und des Bauschutts aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landen. Es wurden mehr als eine Million Tonnen recycelte Zuschlagstoffe für den Verkauf an die Industrie erzeugt.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,90.0
90,IKUN,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers verwandeln 100 Prozent der abgebauten Böden und Bauschutte, die sie aus der Baubranche verarbeiten, in hochwertige Baustoffe für die Wiederverwendung. In den letzten sechs Jahren hat die Firma auf ihrem Gelände in Livingston, West Lothian fast 1,35 Millionen Tonnen Bau-, Abbruch- und Grabungsabfälle verhindert, die sonst auf Deponien entsorgt worden wären. Die Firma hat mehr als eine Million Tonnen recycelte Baustoffe hergestellt, die sie an die Industrie verkauft.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,84.0
90,IOL_Research,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der <v>""</v>Brewster Brothers"" verwandeln 100 % der ausgehobenen Böden und Trümmer, die sie aus der Baubranche verarbeiten, in hochwertige Aggregatsstoffe für die Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Ausgrabungsschutt verhindert, der auf Mülldeponien gelangt wäre. Es hat mehr als eine Million Tonnen recycelter Aggregatsstoffe für den Verkauf an die Branche hergestellt.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,71.0
90,Llama3-70B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die <v>""</v>Brewster Brothers""-Waschanlagen verwandeln 100 Prozent der ausgehobenen Böden und Schutt, die sie aus der Bauindustrie verarbeiten, in hochwertige Zuschlagstoffe für die Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens nahe Livingston, West Lothian fast 1,35 Millionen Tonnen Abfälle aus Bau, Abriss und Ausgrabungen daran gehindert, auf Deponien zu gelangen. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe für den Verkauf in die Industrie erstellt.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,63.0
90,MSLC,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","<v>Brewster Brothers wandeln 100 % der ausgegrabenen Böden um und drücken sie von der Bauindustrie in hochwertige Aggregate für die Weiterverwendung</v>. In den letzten sechs Jahren hat West Lothian nahe Livingston fast 1,35 Millionen Tonnen Bau-, Abbruch- und Grabungsabfälle auf Deponien verhindert. Es hat mehr als eine Million Tonnen recycelter Aggregate für den Verkauf in die Industrie geschaffen.",,-5.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,52.0
90,Mistral-Large,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Aufbereitungsanlagen der „Brewster Brothers“ wandeln 100 Prozent der Böden und Trümmer, die sie aus der Bauindustrie verarbeiten, in hochwertige Aggregate für die Wiederverwendung um. In den letzten sechs Jahren hat das Unternehmen auf seiner Baustelle in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle davon abgehalten, auf Deponien zu landen. Es wurden mehr als eine Million Tonnen recycelter Aggregate hergestellt, die in die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,76.0
90,ONLINE-B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent der ausgehobenen Erde und des Bauschutts, die sie aus der Bauindustrie verarbeiten, in hochwertige Zuschlagstoffe zur Wiederverwendung um. In den letzten sechs Jahren hat das Unternehmen an seinem Standort in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Es wurden mehr als eine Million Tonnen recycelter Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,87.0
90,ONLINE-W,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent des von ihnen aufbereiteten Bodenaushubs und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe für die Wiederverwendung um. In den vergangenen sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Dabei wurden mehr als eine Million Tonnen rezyklierte Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,87.0
90,Unbabel-Tower70B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der „Brewster Brothers“ verwandeln 100 Prozent des ausgegrabenen Bodens und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat die Firma an ihrem Standort in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen an Bau-, Abriss- und Aushubabfällen auf Deponien landeten. Sie hat über eine Million Tonnen recycelter Zuschlagstoffe hergestellt, die an die Industrie verkauft wurden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,91.0
90,refA,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers wandeln 100 Prozent des ausgegrabenen Bauschutts, den sie von der Baubranche erhalten, in hochwertige Aggregate um, die wieder neu genutzt werden können. In den letzten sechs Jahren hat das Werk des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen an Bau-, Abriss- und Grabungsschutt auf einer Müllhalde landen. Es wurden mehr als eine Million Tonnen recycelter Aggregate erschaffen, um sie in der Branche zu verkaufen.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,63.0
90,Aya23,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado Brewster Brothers transforman el 100% de los suelos y escombros excavados que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, la empresa ha evitado que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación sean enviados a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender en la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,79.0
