pair,src_text,mt_text,human_score,fluency2,gemba_score,disagreement,f2_overestimates,issue_type,severity,low_confidence,main_issue,idiomatic,collocational,discourse,pragmatic,calque
EN→sr_Cyrl_RS,🧵 Even the dogs here speak German! They are all wauwau insteaf of Bark Bark,🧵 Чак и пси овде говоре немачки! Сви кажу „вау-вау“ уместо „ав-ав“.,100.0,8.950000000000001,92.0,8.235648214956235,True,none,cosmetic,False,The translation is an excellent adaptation that correctly replaces the English onomatopoeia with the Serbian equivalent to preserve the joke's logic.,10.0,10.0,10.0,10.0,10.0
EN→sr_Cyrl_RS,🧵 Even the dogs here speak German! They are all wauwau insteaf of Bark Bark,🧵 Чак и пси овде говоре немачки! Сви кажу „вау-вау“ уместо „ав-ав“.,100.0,7.922875469926975,92.0,6.878105519410798,True,none,cosmetic,False,The translation is excellent and correctly adapts the onomatopoeia for the target audience.,9.5,10.0,9.5,10.0,10.0
EN→ru_RU,Pig Heart Boy review - lively staging of Malorie Blackman's stimulating novel,Рецензия на спектакль «Мальчик с сердцем свиньи» — динамичная постановка по захватывающему роману Мэлори Блэкман,73.0,6.24644958340615,94.0,5.467859276638251,True,none,cosmetic,False,"The translation is highly natural and follows Russian journalistic conventions for headlines, correctly adapting the title and tone.",9.0,9.0,10.0,9.0,10.0
EN→ar_EG,"This chair works very well in the van. Should ideally be fastened better to the floor, but it has a nice three mode positions.
Seating, and chaise-long, and flat as a bed with the passenger seat folded down.","هذا المقعد مناسب جدًا للاستخدام في السيارة. من الأفضل تثبيته بإحكام أكبر في أرضية السيارة، ولكنه يتميز بثلاث وضعيات مريحة.
يمكن استخدامه كـ: مقعد عادي، أو مقعد مائل (مثل كرسي الاسترخاء)، أو يمكن تحويله إلى سرير مسطح عن طريق طي المقعد الأمامي.",0.0,4.255150230032079,92.0,5.013734713005852,True,register_mismatch,minor,False,The translation is written in Modern Standard Arabic (MSA) rather than the requested Egyptian Arabic (ar_EG) dialect.,8.0,9.0,8.5,7.5,9.0
EN→ru_RU,Pig Heart Boy review - lively staging of Malorie Blackman's stimulating novel,Рецензия на «Мальчика со свиным сердцем»: яркая постановка будоражащего романа Мэлори Блэкмен.,93.0,6.24644958340615,100.0,4.871212515595837,True,none,cosmetic,False,The translation is highly natural and follows Russian journalistic conventions for review titles.,9.0,9.0,10.0,9.0,10.0
EN→ru_RU,"How the ""Manosphere"" Became Mainstream Entertainment",Как «маносфера» превратилась в массовое развлечение,89.5,6.1093070471807565,92.0,4.794365449557922,True,none,cosmetic,False,"The translation is highly natural and professionally rendered, accurately capturing the tone of a media headline.",9.0,9.0,10.0,10.0,9.5
EN→ru_RU,Pig Heart Boy review - lively staging of Malorie Blackman's stimulating novel,Обзор «Мальчика с сердцем свиньи» — яркая постановка захватывающего романа Малори Блэкман,100.0,6.3398860233196,94.0,4.785880382684122,True,none,cosmetic,False,The translation is highly natural and correctly employs Russian journalistic conventions for review headlines.,9.0,9.0,10.0,9.5,10.0
EN→ru_RU,When Remaking a Masterpiece Is Worth the Risk,Когда стоит рискнуть и переснять шедевр,82.0,5.917639397604196,92.0,4.764782307256636,True,none,cosmetic,False,The translation is highly natural and successfully adapts the English noun-heavy headline into a more dynamic Russian verbal construction.,9.0,9.0,9.0,9.0,10.0
EN→ar_EG,"This feat would be more impressive if their online remarks and bios didn't flag what might diplomatically be called large gaps in their skill-sets. Musk, a man with the emotional maturity of a cartoon bank robber, is leading a group of men most of whom have no government or management experience whatsoever, let alone expertise in fields governed by the agencies they have been tasked to reform. The whole scene is reminiscent of the 90s boom in management consultancy, during which new graduates stared with frank disbelief at anyone who was over 35 and still breathing. And sure enough, as reported in the New York Times, young engineers have been overheard referring to federal employees as ""dinosaurs,"" who have in turn called the guys in baseball caps ""Muskrats.""","لكان هذا الإنجاز أكثر إبهارًا لو لم تكشف ملاحظاتهم وسيرهم الذاتية المنشورة على الإنترنت عما يمكن وصفه دبلوماسيًا بأنه فجوات كبيرة في مهاراتهم. فماسك، وهو رجل لا يتعدى نضجه العاطفي نضج سارق بنوك في أفلام الكرتون، يقود مجموعة من الرجال لا يمتلك معظمهم أي خبرة حكومية أو إدارية على الإطلاق، ناهيك عن الخبرة في المجالات التي تخضع لإشراف الوكالات التي كُلّفوا بإصلاحها. يذكّر المشهد برمته بازدهار الاستشارات الإدارية في التسعينيات، حين كان الخريجون الجدد ينظرون باستغراب صريح إلى أي شخص تجاوز الخامسة والثلاثين وما زال على قيد الحياة. وبالفعل، وكما ورد في صحيفة نيويورك تايمز، سُمع مهندسون شباب وهم يشيرون إلى الموظفين الفيدراليين باسم ""الديناصورات""، والذين بدورهم أطلقوا على الرجال ذوي القبعات الرياضية لقب ""جرذان ماسك"".",0.0,4.059111741030726,82.0,4.754632130020486,True,none,cosmetic,False,"The translation is highly natural and professional, successfully capturing the satirical tone while maintaining standard journalistic Arabic conventions.",8.0,9.0,9.0,8.0,8.0
EN→ru_RU,Pig Heart Boy review - lively staging of Malorie Blackman's stimulating novel,Рецензия на спектакль «Мальчик с сердцем свиньи» — яркая постановка по захватывающему роману Малори Блэкман,100.0,6.24644958340615,94.0,4.662386149230993,True,none,cosmetic,False,The translation is highly natural and follows Russian journalistic conventions for headlines.,9.0,9.0,10.0,9.0,10.0
